Part Type,Part Number,Serial Number,Date,Process,Pass / Fail,Failure Type,Details,,,,,
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/16/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/19/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/19/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/22/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/22/2016,ATI,Fail,No Solder,U12,,,AY03Process,AY03Fail,AY03ATIFail
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/22/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/18/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/18/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/18/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/18/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/18/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/18/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/19/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/19/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/19/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/29/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/29/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/29/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/29/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,4/29/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,6/13/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,6/13/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/13/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/13/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/13/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/13/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/13/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/17/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/17/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/17/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/17/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/17/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,10/25/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/7/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/15/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/15/2016,ATI,Fail,Lifted Pin ,J4,,,AY03Process,AY03Fail,AY03ATIFail
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/21/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/21/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/21/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/21/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/21/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/22/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/22/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/22/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/22/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,11/22/2016,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/23/2017,ATI,Pass,,,,,AY03Process,AY03Fail,TstPass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/23/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/23/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/23/2017,ATI,Fail,Missing Component,Unknown,,,AY03Process,AY03Fail,AY03ATIFail
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/23/2017,ATI,Fail,Missing Component,Unknown,,,AY03Process,AY03Fail,AY03ATIFail
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/27/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,2/27/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/6/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-PCB1280-RC-BDU-PROD,BDU0xxxx,3/13/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,2/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,2/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,2/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,2/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,2/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,3/10/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,3/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,3/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,3/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,3/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
LRU,AY01-RC-BDU24-TR,BDU0xxxx,3/28/2017,ESS,Pass,,,,,AY01Process,AY01Fail,Pass
PCBA,AY03-RC442-2573-001-CM,MCD0xxxx,1/21/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-RC442-2573-001-CM,MCD0xxxx,1/21/2017,ATI,Pass,,,,,AY03Process,AY03Fail,Pass
PCBA,AY03-RC442-2573-001-CM,MCD0xxxx,1/21/2017,ATI,Fail,Other,USB Failure - Part Unknown,,,AY03Process,AY03Fail,AY03ATIFail
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/5/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
SubAssembly,AY02-BEA_TSPCU-LCD-GLS,DSP0xxxx,1/6/2017,ESS,Pass,,,,,AY02Process,AY02Fail,Pass
